step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
227,0.15179,0.95385,,
228,0.02829,0.9863,,
229,0.02118,0.98693,,
230,0.34867,0.92025,,
231,0.17132,0.94512,,
232,0.10529,0.96203,,
233,0.19605,0.9375,,
234,0.01973,0.99315,,
235,0.05452,0.98101,,
236,0.16152,0.96364,,
237,0.01238,0.99346,,
238,0.68416,0.75253,,
239,0.07232,0.98077,,
240,0.01125,1.0,,
241,0.07273,0.97403,,
242,0.08007,0.9871,,
243,0.25346,0.92558,,
244,0.46252,0.88172,,
245,0.41619,0.86076,,
246,0.43853,0.89116,,
247,0.03004,0.99219,,
248,0.07235,0.98089,,
249,0.05334,0.98734,,
250,0.44709,0.86567,,
251,0.03333,0.99367,,
252,0.3283,0.91367,,
253,0.3091,0.90909,,
254,0.02772,0.99219,,
255,0.05117,0.98125,,
256,0.42993,0.86559,,
257,0.09851,0.98013,,
258,0.02851,0.98742,,
259,0.03576,0.98438,,
260,0.30273,0.92025,,
261,0.02176,0.99074,,
262,0.08264,0.98039,,
263,0.0089,1.0,,
264,0.2171,0.94074,,
265,0.28436,0.91772,,
266,0.04691,0.98693,,
267,0.04603,0.99346,,
268,0.09115,0.96273,,
269,0.02256,0.99359,,
270,0.01509,0.99346,,
271,0.37286,0.89815,,
272,0.51498,0.85561,,
273,0.07176,0.98742,,
274,0.05911,0.96795,,
275,0.01657,0.99219,,
276,0.01047,0.99346,,
277,0.34953,0.87248,,
278,0.38037,0.88889,,
279,0.01867,0.99371,,
280,0.35561,0.89209,,
281,0.03877,0.99371,,
282,0.18971,0.94304,,
283,0.21076,0.94565,,
284,0.02792,0.98438,,
285,0.10998,0.95858,,
286,0.08385,0.98171,,
287,0.04388,0.98125,,
288,0.01759,0.99367,,
289,0.01521,0.99187,,
290,0.32751,0.87726,,
291,0.13475,0.97076,,
292,0.40768,0.89247,,
293,0.19833,0.92754,,
294,0.06378,0.96933,,
295,0.52251,0.87295,,
296,0.21712,0.93373,,
297,0.42015,0.88489,,
298,0.10454,0.9871,,
299,0.03269,0.98693,,
300,0.00966,1.0,,
301,0.04169,0.98077,,
302,0.02427,0.98438,,
303,0.03866,0.98742,,
304,0.42996,0.86747,,
305,0.04939,0.98125,,
306,0.13552,0.95181,,
307,0.04058,0.98639,,
308,0.27599,0.91139,,
309,0.50182,0.85027,,
310,0.21458,0.93258,,
311,0.02652,0.99342,,
312,0.06669,0.98734,,
313,0.10107,0.95625,,
314,0.03133,0.98077,,
315,0.50284,0.87111,,
316,0.06267,0.98438,,
317,0.17354,0.91892,,
318,0.02319,0.99342,,
319,0.24268,0.91538,,
320,0.13674,0.95161,,
321,0.02471,0.99371,,
322,0.36201,0.8836,,
323,0.08324,0.97987,,
324,0.62669,0.84536,,
325,0.166,0.95092,,
326,0.22319,0.94643,,
327,0.02714,0.98113,,
328,0.02101,0.99367,,
329,0.13057,0.96154,,
330,0.64106,0.82143,,
331,0.16987,0.93846,,
332,0.19418,0.95092,,
333,0.44924,0.87324,,
